Dpto.,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Asuncion,527712,528865.4217,529802.8488,530565.2118,531153.4172,531561.0587,531780.9179,531831.0341,531701.2083,531388.9087,530895.416,530226.7351,529432.7995,528528.0809,527496.5567,526407.6709,525293.5186,524189.5389,523183.9795,522286.8026,521558.8314,521101.1506,520917.4411,521091.1096,521630.497,522615.8387
Dpto. Concepcion,189927,192799.4688,195669.3032,198552.8023,201461.7974,204401.075,207386.5326,210435.1153,213538.1822,216707.1882,219936.0731,223232.2024,226584.9693,230000.3719,233452.0188,236959.0063,240495.0006,244070.62,247674.7328,251314.2769,254976.4375,258653.4458,262360.0709,266071.7027,269804.9408,273578.6893
Dpto. San Pedro,333882,339171.4671,344338.606,349425.0048,354445.8687,359430.5647,364364.2616,369301.9069,374229.6845,379173.3498,384150.8446,389153.3581,394168.9552,399213.7062,404300.0513,409381.034,414503.2055,419628.5572,424774.2964,429957.1999,435126.3964,440334.7012,445550.1369,450802.1893,456088.7731,461413.3145
Dpto. Cordillera,242141,244883.1258,247657.5258,250487.0315,253389.0331,256359.667,259410.8754,262558.4398,265815.2974,269173.6582,272637.3421,276192.8402,279859.5781,283602.1037,287419.5901,291311.2391,295256.2036,299233.9351,303242.4534,307255.9468,311272.6139,315244.7225,319176.4478,323040.1365,326842.4919,330537.611
Dpto. Guaira,187724,189461.719,191192.8094,192922.1772,194668.0595,196443.7739,198235.7615,200061.8195,201937.6572,203861.4801,205831.4141,207840.0236,209900.379,212004.9331,214147.497,216335.0215,218560.3251,220818.1752,223104.1023,225409.7411,227747.4841,230112.4082,232503.4862,234920.2694,237364.2949,239854.9094
Dpto. Caaguazu,456442,461931.2913,467267.9399,472474.399,477597.4349,482648.3444,487665.8031,492665.1488,497661.425,502693.5835,507792.9981,512957.7315,518217.871,523566.65,528993.5575,534522.3565,540175.7207,545904.4133,551774.3164,557733.1239,563802.524,569967.4146,576260.6529,582630.3733,589117.1181,595767.157
Dpto. Caazapa,147592,149470.9958,151356.6052,153259.7238,155195.1285,157165.3086,159171.2076,161226.9749,163335.5032,165505.2415,167730.9509,170013.7407,172344.5752,174723.2628,177138.0309,179575.9103,182038.8715,184529.6757,187034.8411,189540.9348,192031.0355,194511.5588,196993.7202,199470.5327,201936.2216,204387.8413
Dpto. Itapua,468519,476522.532,484326.45,491964.1159,499422.6749,506714.2917,513814.7098,520738.6998,527505.5003,534129.7444,540787.974,547653.3094,554652.8921,561810.1835,569109.5812,576576.5639,584200.7121,592016.6601,600011.1711,608214.7938,616564.9591,625096.1319,633846.8594,642752.8083,651856.4085,661146.2027
Dpto. Misiones,105288,106092.7447,106897.1427,107714.893,108555.0107,109419.2896,110313.2559,111248.393,112225.6839,113254.0101,114339.3031,115476.6244,116671.9468,117920.5772,119220.3336,120576.0487,121984.8177,123442.2393,124954.0961,126517.1682,128129.8796,129786.6381,131493.1295,133235.5178,135022.3808,136852.4993
Dpto. Paraguari,235283,236443.0908,237543.0144,238610.6372,239653.04,240686.9644,241725.8988,242772.8052,243843.5454,244951.0043,246085.6404,247253.2915,248460.8628,249695.605,250964.6657,252254.8204,253557.3158,254884.1712,256224.2899,257586.6369,258957.4652,260331.1962,261701.3442,263079.3699,264460.3379,265840.1141
Dpto. Alto Parana,568074,583983.8212,599540.649,614730.2619,629584.3131,644078.8419,658242.4583,672107.8225,685656.8076,698926.1317,711901.6351,724627.4431,737092.0408,749348.8554,761398.3739,773302.7636,785065.878,796689.188,808172.4562,819588.8497,830943.4565,842307.1561,853610.4608,864920.1308,876234.4192,887612.8518
Dpto. Central,1342589,1384522.334,1426611.315,1468812.088,1511201.322,1553729.78,1596476.387,1639381.411,1682388.883,1725429.843,1768598.769,1811838.042,1855240.968,1898592.39,1941991.583,1985383.785,2028699.637,2072041.468,2115174.385,2158215.481,2201109.496,2243792.166,2286193.099,2328453.44,2370332.892,2411983.408
Dpto. Neembucu,79925,80457.67659,80980.77471,81501.63728,82017.46839,82533.24671,83047.55264,83563.45774,84081.55578,84604.06886,85128.74901,85653.5567,86179.6638,86705.2647,87227.44177,87749.54432,88269.84862,88783.91056,89290.35018,89794.2875,90286.71302,90773.53844,91251.62379,91720.59327,92180.02456,92629.98255
Dpto. Amambay,119660,122300.4,124942.4594,127584.722,130233.783,132884.0306,135540.2364,138187.3764,140841.9168,143486.5592,146126.778,148768.6907,151394.8645,154026.9315,156646.4736,159262.5291,161869.4135,164461.7764,167049.8469,169615.0695,172169.4181,174721.2125,177252.356,179773.1383,182281.02,184771.7449
Dpto. Canindeyu,141575,146476.7152,151361.2364,156223.8529,161068.8175,165889.139,170689.1411,175460.4807,180196.235,184914.857,189608.056,194268.2313,198899.1431,203507.8797,208084.9437,212636.8783,217153.9506,221647.0617,226110.8402,230556.4019,234977.5879,239386.0475,243778.5877,248151.9002,252521.5386,256887.4116
