Fecha;Día de Max.Fecha;Cantidad Pruebas;Confirmados en albergues;Confirmados Total;Fallecidos;Internados Generales;Internados UTI;Recuperados
7/3/2020;19 de noviembre de 2022;1;0;1;0;0;0;0
8/3/2020;19 de noviembre de 2022;0;0;0;0;0;0;0
9/3/2020;19 de noviembre de 2022;0;0;0;0;0;0;0
10/3/2020;19 de noviembre de 2022;8;0;4;0;3;2;0
11/3/2020;19 de noviembre de 2022;7;0;0;0;0;0;0
12/3/2020;19 de noviembre de 2022;6;0;1;0;0;0;0
13/3/2020;19 de noviembre de 2022;17;0;1;0;0;0;0
14/3/2020;19 de noviembre de 2022;15;0;0;0;0;0;0
15/3/2020;19 de noviembre de 2022;33;0;1;0;0;0;0
16/3/2020;19 de noviembre de 2022;27;0;1;0;0;0;0
17/3/2020;19 de noviembre de 2022;26;0;2;0;0;0;0
18/3/2020;19 de noviembre de 2022;24;0;0;0;0;0;0
19/3/2020;19 de noviembre de 2022;32;0;2;0;0;0;0
20/3/2020;19 de noviembre de 2022;44;0;5;1;0;0;0
21/3/2020;19 de noviembre de 2022;68;0;4;0;0;0;0
22/3/2020;19 de noviembre de 2022;37;0;0;0;0;0;0
23/3/2020;19 de noviembre de 2022;89;0;5;1;0;0;0
24/3/2020;19 de noviembre de 2022;91;0;10;1;2;0;0
25/3/2020;19 de noviembre de 2022;51;0;4;0;4;0;0
26/3/2020;19 de noviembre de 2022;78;0;11;0;4;0;1
27/3/2020;19 de noviembre de 2022;101;0;4;0;4;0;0
28/3/2020;19 de noviembre de 2022;60;0;3;0;4;0;0
29/3/2020;19 de noviembre de 2022;105;0;5;0;4;0;0
30/3/2020;19 de noviembre de 2022;68;0;1;0;4;0;0
31/3/2020;19 de noviembre de 2022;90;0;4;0;4;0;0
1/4/2020;19 de noviembre de 2022;95;0;8;0;5;0;2
2/4/2020;19 de noviembre de 2022;116;0;15;0;5;0;3
3/4/2020;19 de noviembre de 2022;165;0;4;0;5;0;6
4/4/2020;19 de noviembre de 2022;192;0;8;0;8;2;0
5/4/2020;19 de noviembre de 2022;200;2;9;2;8;2;0
6/4/2020;19 de noviembre de 2022;162;0;2;0;6;1;3
7/4/2020;19 de noviembre de 2022;212;0;4;0;6;2;0
8/4/2020;19 de noviembre de 2022;242;1;5;0;6;2;3
9/4/2020;19 de noviembre de 2022;223;0;5;1;5;1;0
10/4/2020;19 de noviembre de 2022;220;0;4;0;3;1;0
11/4/2020;19 de noviembre de 2022;230;0;1;0;3;1;4
