"date","time","m2w","m4w","q25","q75","X10p_h","X20p_l","eq","unc_l","proj","unc_h"
2022-12-17,0,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401
2022-12-18,1,59.5272224257637,59.527222417487,59.5272224035021,59.5272224966179,59.5272225154671,59.5272224204809,59.5272224053709,59.5265102361376,59.5272224273285,59.5276480702365
2022-12-19,2,58.062470787321,58.0624707010527,58.0624705552898,58.0624709754682,58.0624711719371,58.0624707322583,58.062470574768,58.0570151012266,58.0624708036305,58.0657360609875
2022-12-20,3,57.9486514557154,57.9486510455117,57.9486503525463,57.9486518451435,57.9486527793202,57.9486511938865,57.9486504451366,57.9305957460611,57.9486515332734,57.9594642219744
2022-12-21,4,59.3776810200008,59.3776795121064,59.377676964519,59.3776818801648,59.3776853145401,59.3776800575407,59.3776773049335,59.3348190845582,59.3776813050877,59.4033589455258
2022-12-22,5,62.6077559294627,62.6077509403472,62.6077425110968,62.6077577521059,62.6077691138907,62.6077527450127,62.6077436374428,62.5223848948011,62.6077568727126,62.6589437398875
2022-12-23,6,67.9777350175036,67.9777195511035,67.9776934180141,67.9777406176386,67.9777758402574,67.9777251457284,67.9776969101664,67.8249125452087,67.9777379414971,68.0694366987222
2022-12-24,7,75.9241790277602,75.9241319499731,75.9240524144666,75.9241938496709,75.9243010558431,75.9241489787847,75.9240630420061,75.6693955965282,75.9241879285429,76.0771889938437
2022-12-25,8,87.0012426698572,87.001101979243,87.0008642298199,87.00129455751,87.0016149881154,87.0011528724105,87.0008960022425,86.5974295034214,87.0012692666122,87.2439697733024
2022-12-26,9,101.902852528537,101.9024345098,101.901728349395,101.903000752107,101.903952650068,101.902585711044,101.901822702053,101.286677656212,101.90293156435,102.273592295517
2022-12-27,10,121.486176778858,121.484941559033,121.482854129592,121.486687367386,121.489501422482,121.485388388804,121.483133094033,120.573653659524,121.486410286448,122.035853350982
2022-12-28,11,146.794195697063,146.790582372778,146.784436044221,146.795731866706,146.803934651996,146.791888847315,146.785255740565,145.475745905558,146.794879068925,147.589555961194
2022-12-29,12,179.073566764416,179.063050629533,179.045246910806,179.078385747498,179.102648542904,179.066824756994,179.047609482245,177.209046997144,179.075563717364,180.200802612749
2022-12-30,13,219.781905288925,219.751529402307,219.700269664718,219.796873241442,219.86606678739,219.7624267964,219.707111990212,217.196509188857,219.787618682538,221.350658662537
2022-12-31,14,270.574966483044,270.488421890554,270.342513500609,270.621163115904,270.820450644387,270.519532139837,270.361989473355,267.058579081675,270.591240032079,272.723393216545
2023-01-01,15,333.261670495438,333.019286755934,332.610447231274,333.398172093204,333.954479424034,333.106540394925,332.665131430247,328.575613508677,333.307382111601,336.164311461429
2023-01-02,16,409.709788963297,409.047693900786,407.931745225431,410.075397322551,411.596939944064,409.286451927687,408.08063937954,403.610509102837,409.834863109271,413.593657609712
2023-01-03,17,501.684442666271,499.946272214912,497.018943896103,502.47960690738,506.50836562404,500.573582704874,497.409706148051,493.979104506078,502.013513940588,506.865036749984
2023-01-04,18,610.611537080946,606.31566526274,599.090392232202,611.649764388536,621.733786697849,607.866361318276,600.053407260677,601.261669862077,611.425525497236,617.560709798612
2023-01-05,19,737.290547136956,727.53065290426,711.128794708362,736.548628959852,759.815205901919,731.054921333066,713.313739449859,726.558498360464,739.140159544488,746.729725462369
2023-01-06,20,881.632816793279,861.600857164791,827.919142119161,873.149984369697,921.618081353951,868.839119994649,832.402814767249,870.210145756933,885.425056445313,894.593787854224
2023-01-07,21,1042.49125854958,1005.53090436524,943.201892397519,1015.34133301388,1105.82914590812,1018.90478600262,951.497696791535,1031.52303523093,1049.46726110274,1060.26599113727
2023-01-08,22,1217.58896673269,1155.90001019629,1051.21689488035,1156.94021751328,1309.30480651314,1178.28106133947,1065.15419676729,1208.5586351946,1229.1666906085,1241.54728056791
2023-01-09,23,1403.53504906559,1309.28823738399,1147.69062695433,1293.02531157283,1527.45238948139,1343.62440597323,1169.22200424002,1398.04937886051,1421.06617938123,1434.86566895843
2023-01-10,24,1595.94411628209,1462.45081575058,1230.05127575443,1420.19374431492,1754.42525265838,1511.3742441255,1261.05961957447,1595.4880068399,1620.46426821455,1635.40346820502
2023-01-11,25,1789.68231774,1612.35309210107,1297.18402209715,1536.30358481678,1983.41529906838,1677.85241373825,1339.32980547985,1795.40143675528,1821.71650442742,1837.41516355155
