"date","time","m2w","m4w","q25","q75","X10p_h","X20p_l","eq","unc_l","proj","unc_h"
2022-12-17,0,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523
2022-12-18,1,180.407448066211,180.407447646261,180.40744693693,180.407447244012,180.407448200024,180.407447798198,180.40744703178,180.371285132135,180.407448145476,180.429070426439
2022-12-19,2,346.351470808734,346.351464776191,346.351454583678,346.351458995794,346.351472734098,346.351466958326,346.351455945685,345.977562881291,346.351471949163,346.57528738352
2022-12-20,3,773.32233413611,773.322288979466,773.322212707576,773.322245719968,773.322348549757,773.322305312359,773.3222228978,771.525061045055,773.322342674526,774.39888920599
2022-12-21,4,261.73371955276,261.73367796117,261.733607692233,261.733638109313,261.733732826748,261.733693005627,261.733617081713,260.764437151904,261.73372741619,262.314445789962
2022-12-22,5,586.875589885244,586.875357472015,586.874964797912,586.8751347754,586.875664059014,586.875441540942,586.875017268848,583.868033938166,586.875633825449,588.680281216383
2022-12-23,6,1611.17880898176,1611.17728977373,1611.17472274068,1611.1758339751,1611.17929380729,1611.17783931709,1611.17506577756,1600.62020407824,1611.17909619114,1617.51943343176
2022-12-24,7,1716.34114327366,1716.33729132241,1716.33078398049,1716.33360071087,1716.34237267592,1716.33868461983,1716.33165346775,1702.66176398406,1716.34187156097,1724.56416595576
2022-12-25,8,1568.27960682505,1568.27137305086,1568.25745760329,1568.263481827,1568.28223422201,1568.27435159313,1568.25931734142,1553.59500692155,1568.281163303,1577.11668409936
2022-12-26,9,3153.82402555814,3153.78521176548,3153.71965242378,3153.74802830834,3153.83641452326,3153.7992506212,3153.72841139399,3120.00576294512,3153.83136461509,3174.20042290088
2022-12-27,10,4180.81673597505,4180.69658911008,4180.49351944394,4180.5814339646,4180.85507323306,4180.74005272388,4180.52065990456,4130.49865137568,4180.83944717905,4211.18037720007
2022-12-28,11,5395.49772033634,5395.13823845036,5394.52581128015,5394.79013351605,5395.61237263825,5395.26846944844,5394.60739396207,5323.82089885828,5395.56563778372,5438.84118246076
2022-12-29,12,6002.66488799883,6001.73942553484,6000.17984270924,6000.86044181095,6002.96179440745,6002.07103006977,6000.38384718282,5915.94747447708,6002.84077612123,6055.2903044429
2022-12-30,13,2545.16304606544,2544.25952517334,2542.73519402302,2543.39156105526,2545.44961609548,2544.58311193223,2542.93932888428,2505.74163871733,2545.33245724163,2569.24240559876
2022-12-31,14,3160.10565627172,3157.54534096159,3153.23224798013,3155.0922516148,3160.92238626574,3158.46635230798,3153.80640317298,3108.4202908463,3160.58688376641,3192.10508768754
2023-01-01,15,3897.43357996316,3890.31668235828,3878.31209701883,3883.50770019822,3899.71026483685,3892.88022813386,3879.92229015609,3831.32461573251,3898.77497082,3939.53063464914
2023-01-02,16,4767.55977778077,4748.34839822531,4715.98661417469,4729.97995508,4773.70828407183,4755.28285712673,4720.29762734726,4685.7750426391,4771.18967105348,4822.79096812228
2023-01-03,17,5774.14571272706,5724.69448311506,5641.45110394532,5677.45559863339,5789.97421876421,5742.55126641153,5652.56839689808,5677.81541284478,5783.5139229227,5847.32972168049
2023-01-04,18,6910.10079349691,6791.77918725006,6592.92423134164,6678.83311099331,6947.9727127176,6834.49299378029,6619.40371975182,6805.08462581966,6932.53116785258,7009.39437279154
2023-01-05,19,8154.36690193823,7898.85716541783,7469.69217384488,7655.02315160888,8236.12473060722,7991.14166651509,7526.86604266001,8053.56277195766,8202.79469102155,8292.65593253809
2023-01-06,20,9471.73253666806,8983.63717021295,8162.64358742301,8517.14417625503,9627.57305786149,9160.09189796166,8271.87378008356,9394.96085589321,9564.05881646232,9665.66105452944
2023-01-07,21,10815.686445281,9993.48780747028,8603.14695671568,9203.77987158302,11076.7280208553,10291.3884238861,8788.16480099364,10785.7317803849,10970.4359055771,11081.1018552325
2023-01-08,22,12132.0073093796,10896.7408793186,8785.47461387244,9698.65060570663,12520.0348618965,11346.2733573754,9066.65862326485,12168.63480545,12362.3256356566,12477.9653155335
2023-01-09,23,13362.2573717249,11678.5499587433,8749.40908837936,10019.0365384669,13882.2157287897,12295.5919157577,9140.10613524247,13477.333160365,13671.462996882,13786.8635170335
2023-01-10,24,14448.3426556877,12331.7861111496,8550.77038904876,10195.2313274381,15085.9303687809,13115.4059613548,9056.42796042262,14643.5845927365,14828.5787312614,14937.964489612
2023-01-11,25,15338.603985499,12851.5972725326,8242.1448191765,10257.0780411831,16062.7940931449,13785.1820260388,8861.22976484172,15605.6795654066,15772.110698942,15869.8601981231
2023-01-12,26,15993.5051041746,13234.3107775757,7865.49630441212,10228.9919414951,16762.4076650901,14288.5856600825,8591.13559649404,16316.2314077431,16455.9824396132,16537.335063873
2023-01-13,27,16389.9344672775,13478.0864050106,7451.51996632078,10129.5843156794,17157.9013507611,14615.2380204837,8273.28882105636,16747.4091176882,16854.596777293,16916.184717764
2023-01-14,28,16522.7962847271,13584.0043731739,7021.60249325934,9972.80989281289,17246.984316753,14762.0336890233,7926.99602000751,16892.7002757693,16964.1525579355,17004.2561881854
2023-01-15,29,16403.6893645978,13556.7043890521,6590.14828484974,9769.33108621955,17049.0198068728,14733.5202914871,7565.72171702463,16765.2656155425,16800.513021897,16819.0329046358
2023-01-16,30,16057.7012783219,13404.4237068715,6166.58476280058,9527.61862961342,16599.5245938005,14541.1760263665,7198.77154521025,16393.7521476768,16394.6628377664,16392.8700728268
2023-01-17,31,15519.0284737791,13138.6230347301,5756.88390794052,9254.60959786445,15943.593754352,14202.1567519425,6832.57468947661,15816.9560723363,15787.1416302705,15767.3060234341
2023-01-18,32,14826.479057808,12773.1520367174,5364.66186590168,8956.33514444288,15129.9535345535,13737.5326178684,6471.56634182245,15078.5040212931,15022.6526043737,14987.6434970023
2023-01-19,33,14019.6879309477,12323.5788975212,4991.93520889609,8638.05601256873,14206.1619094347,13170.4823048925,6118.79077526052,14222.3425968182,14145.6221165272,14098.5503436782
2023-01-20,34,13136.1323632212,11806.1414926233,4639.65341070886,8304.5008375058,13215.3553438972,12524.6574290855,5776.37132134544,13289.4791779404,13197.0439342389,13140.9813807989
2023-01-21,35,12209.2308622897,11236.8622793886,4308.04921493449,7960.05458959009,12194.4467380213,11822.8507522797,5445.71535544515,12315.9334999032,12212.5873389757,12150.3736435483
2023-01-22,36,11267.3283322087,10631.0641849564,3996.88784385892,7608.5371485533,11173.4490837981,11086.0050900112,5127.74151186989,11331.7676055217,11221.7575945622,11155.8852892164
2023-01-23,37,10333.3875874972,10002.8095175562,3705.6241130236,7253.42999235888,10175.594557843,10332.6145261727,4823.02712001423,10360.9084004235,10247.8274493935,10180.389860987
2023-01-24,38,9425.171220574,9364.55868023521,3433.52288408044,6897.84863558133,9217.95270119975,9578.35009123481,4531.86524378877,9421.49387707323,9308.26116042313,9240.95315218886
2023-01-25,39,8555.74339570529,8727.06709552008,3179.73163167431,6544.52680099832,8312.27567666207,8836.07764896423,4254.36658703552,8526.5356697539,8415.42992843771,8349.5640245888
2023-01-26,40,7734.09773122367,8099.25549086822,2943.33233094662,6195.83977266562,7465.9287999318,8115.94177852758,3990.47417600096,7684.6864010504,7577.41742802844,7513.96825334598
2023-01-27,41,6965.85728260453,7488.34541162641,2723.38294883087,5853.82110298837,6682.792280501,7425.56824189633,3740.01821693442,6901.05524258013,6798.8390116071,6738.49422731781
2023-01-28,42,6253.9355576835,6899.96096890114,2518.93723894271,5520.18080207005,5964.06684021759,6770.3900841148,3502.73726865884,6177.96136558696,6081.6043824948,6024.8120918956
2023-01-29,43,5599.14586459576,6338.25003502772,2329.0595432555,5196.31311676303,5308.9745486234,6153.95549693136,3278.30215903219,5515.60232160079,5425.5780709807,5372.59407685134
2023-01-30,44,5000.72795046898,5806.10145536167,2152.84329923367,4883.33319530592,4715.32379893512,5578.25823950739,3066.32838112942,4912.6177911211,4829.13834285234,4780.06917073058
2023-01-31,45,4456.78092221588,5305.31124762083,1989.41125409869,4582.11084945355,4179.98164873944,5044.03367738802,2866.39238148933,4366.55767900614,4289.63558391321,4244.47274058917
