fecha,peor,mejor,proy,eq,X2w,X4w,q25,q75,X10p,X20p,H,Hospitalizados,CapacidadMax,FechaCapacidadMax
2022-12-24,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,76.2346142396735,225.0,1319,2020-12-31
2022-12-25,87.9261993773863,87.74820882477329,87.83916908540002,87.83916906940159,87.8391691287413,87.83916911002599,87.8391690596634,87.83916966526958,87.8391697107778,87.83916911016821,,224.0,1319,2020-12-31
2022-12-26,100.724862340327,99.44026268044772,100.094094857388,100.09409470345301,100.09409527442101,100.094095094338,100.09409460975401,100.094096911354,100.09409734924499,100.094095095704,,233.0,1319,2020-12-31
2022-12-27,114.588473057589,110.65242439716499,112.64282186993601,112.642821194373,112.64282369496,112.64282290979901,112.642820782982,112.64282767258001,112.642829582532,112.64282291579799,,219.0,1319,2020-12-31
2022-12-28,129.54913080414,121.026642681421,125.299070311473,125.29906815046101,125.29907616268,125.299073637899,125.299066834972,125.299085437857,125.299091577755,125.29907365708799,,227.0,1319,2020-12-31
2022-12-29,145.684037985185,130.39002064647698,137.976256704873,137.976250609651,137.97627321575501,137.976266087181,137.976246899515,137.97629512712402,137.976312460389,137.97626614130502,,246.0,1319,2020-12-31
2022-12-30,163.099467208135,138.681735149086,150.645030181387,150.645014172379,150.64507359616002,150.645054842486,150.645004433287,150.645125529928,150.645171137553,150.645054984807,,241.0,1319,2020-12-31
2022-12-31,181.92186606092,145.907409238932,163.308565857672,163.308525074914,163.308676471564,163.308628683941,163.3085002632,163.308802026814,163.308917693736,163.308629046547,,238.0,1319,2020-12-31
2020-03-06,,,,,,,,,,,,11.0,1319,2020-12-31
2020-03-07,,,,,,,,,,,,28.0,1319,2020-12-31
2020-03-08,,,,,,,,,,,,54.0,1319,2020-12-31
2020-03-09,,,,,,,,,,,,337.0,1319,2020-12-31
2020-03-10,,,,,,,,,,,,550.0,1319,2020-12-31
2020-03-11,,,,,,,,,,,,460.0,1319,2020-12-31
2020-03-12,,,,,,,,,,,,631.0,1319,2020-12-31
2020-03-13,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-14,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-15,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-16,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-17,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-18,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-19,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-20,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-21,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-22,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-23,,,,,,,,,,,,0.0,1319,2020-12-31
2020-03-24,,,,,,,,,,,,2.0,1319,2020-12-31
2020-03-25,,,,,,,,,,,,4.0,1319,2020-12-31
2020-03-26,,,,,,,,,,,,4.0,1319,2020-12-31
2020-03-27,,,,,,,,,,,,4.0,1319,2020-12-31
2020-03-28,,,,,,,,,,,,4.0,1319,2020-12-31
2020-03-29,,,,,,,,,,,,4.0,1319,2020-12-31
2020-03-30,,,,,,,,,,,,4.0,1319,2020-12-31
2020-03-31,,,,,,,,,,,,4.0,1319,2020-12-31
2020-04-01,,,,,,,,,,,,,1319,2020-12-31
2020-04-02,,,,,,,,,,,,,1319,2020-12-31
2020-04-03,,,,,,,,,,,,,1319,2020-12-31
