fecha,peor,mejor,proy,eq,X2w,X4w,q25,q75,X10p,X20p,U,UTI,CapacidadMax,FechaCapacidadMax
2022-12-24,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,22.916524779387103,25.0,461,2020-12-31
2022-12-25,22.856353162452898,22.855313074300604,22.8558448612606,22.8558448611719,22.8558448615006,22.855844861397,22.855844861118,22.855844922835104,22.8558449230872,22.8558448613977,,25.0,461,2020-12-31
2022-12-26,23.0745059015001,23.059465643151302,23.067134520846,23.067134519238802,23.0671345251998,23.067134523319897,23.0671345182605,23.0671347558892,23.0671347604602,23.067134523334197,,30.0,461,2020-12-31
2022-12-27,23.5720595723436,23.502926989690298,23.538020921819,23.538020912986397,23.538020946026897,23.5380209354148,23.538020907619902,23.538021624765,23.5380216505395,23.538020935493304,,36.0,461,2020-12-31
2022-12-28,24.3499722766353,24.150787607419602,24.251309210787397,24.2513091738394,24.2513093110576,24.251309267660304,24.251309151355702,24.2513111436878,24.2513112492169,24.2513092679884,,42.0,461,2020-12-31
2022-12-29,25.410391334957104,24.965285593186803,25.1882843447166,25.188284225160302,25.188284668710004,25.188284528748103,25.188284152391702,25.1882894917796,25.188289831992503,25.1882845298097,,45.0,461,2020-12-31
2022-12-30,26.7573571400598,25.9092949385082,26.3305554279357,26.3305550801577,26.3305563677561,26.3305559622813,26.330554868190497,26.330568749707602,26.3305697380328,26.330555965360602,,45.0,461,2020-12-31
2022-12-31,28.3971855134913,26.948213370405103,27.660996163414,27.6609952450003,27.6609986512048,27.660997576980602,27.660994685943,27.6610303823383,27.661032926273602,27.660997585134602,,45.0,461,2020-12-31
2020-03-06,,,,,,,,,,,,2.0,461,2020-12-31
2020-03-07,,,,,,,,,,,,4.0,461,2020-12-31
2020-03-08,,,,,,,,,,,,14.0,461,2020-12-31
2020-03-09,,,,,,,,,,,,85.0,461,2020-12-31
2020-03-10,,,,,,,,,,,,143.0,461,2020-12-31
2020-03-11,,,,,,,,,,,,125.0,461,2020-12-31
2020-03-12,,,,,,,,,,,,145.0,461,2020-12-31
2020-03-13,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-14,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-15,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-16,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-17,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-18,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-19,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-20,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-21,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-22,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-23,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-24,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-25,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-26,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-27,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-28,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-29,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-30,,,,,,,,,,,,0.0,461,2020-12-31
2020-03-31,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-01,,,,,,,,,,,,,461,2020-12-31
2020-04-02,,,,,,,,,,,,,461,2020-12-31
2020-04-03,,,,,,,,,,,,,461,2020-12-31
2020-04-04,,,,,,,,,,,,2.0,461,2020-12-31
2020-04-05,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-06,,,,,,,,,,,,2.0,461,2020-12-31
2020-04-07,,,,,,,,,,,,5.0,461,2020-12-31
2020-04-08,,,,,,,,,,,,16.0,461,2020-12-31
2020-04-09,,,,,,,,,,,,87.0,461,2020-12-31
2020-04-10,,,,,,,,,,,,145.0,461,2020-12-31
2020-04-11,,,,,,,,,,,,121.0,461,2020-12-31
2020-04-12,,,,,,,,,,,,144.0,461,2020-12-31
2020-04-13,,,,,,,,,,,,1.0,461,2020-12-31
2020-04-14,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-15,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-16,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-17,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-18,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-19,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-20,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-21,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-22,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-23,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-24,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-25,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-26,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-27,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-28,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-29,,,,,,,,,,,,0.0,461,2020-12-31
2020-04-30,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-01,,,,,,,,,,,,,461,2020-12-31
2020-05-02,,,,,,,,,,,,,461,2020-12-31
2020-05-03,,,,,,,,,,,,,461,2020-12-31
2020-05-04,,,,,,,,,,,,2.0,461,2020-12-31
2020-05-05,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-06,,,,,,,,,,,,2.0,461,2020-12-31
2020-05-07,,,,,,,,,,,,5.0,461,2020-12-31
2020-05-08,,,,,,,,,,,,18.0,461,2020-12-31
2020-05-09,,,,,,,,,,,,88.0,461,2020-12-31
2020-05-10,,,,,,,,,,,,152.0,461,2020-12-31
2020-05-11,,,,,,,,,,,,119.0,461,2020-12-31
2020-05-12,,,,,,,,,,,,140.0,461,2020-12-31
2020-05-13,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-14,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-15,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-16,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-17,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-18,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-19,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-20,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-21,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-22,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-23,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-24,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-25,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-26,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-27,,,,,,,,,,,,0.0,461,2020-12-31
2020-05-28,,,,,,,,,,,,1.0,461,2020-12-31
2020-05-29,,,,,,,,,,,,1.0,461,2020-12-31
2020-05-30,,,,,,,,,,,,2.0,461,2020-12-31
2020-05-31,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-01,,,,,,,,,,,,,461,2020-12-31
2020-06-02,,,,,,,,,,,,,461,2020-12-31
2020-06-03,,,,,,,,,,,,,461,2020-12-31
2020-06-04,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-05,,,,,,,,,,,,0.0,461,2020-12-31
2020-06-06,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-07,,,,,,,,,,,,7.0,461,2020-12-31
2020-06-08,,,,,,,,,,,,23.0,461,2020-12-31
2020-06-09,,,,,,,,,,,,96.0,461,2020-12-31
2020-06-10,,,,,,,,,,,,152.0,461,2020-12-31
2020-06-11,,,,,,,,,,,,114.0,461,2020-12-31
2020-06-12,,,,,,,,,,,,139.0,461,2020-12-31
2020-06-13,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-14,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-15,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-16,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-17,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-18,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-19,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-20,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-21,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-22,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-23,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-24,,,,,,,,,,,,1.0,461,2020-12-31
2020-06-25,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-26,,,,,,,,,,,,2.0,461,2020-12-31
2020-06-27,,,,,,,,,,,,3.0,461,2020-12-31
2020-06-28,,,,,,,,,,,,3.0,461,2020-12-31
2020-06-29,,,,,,,,,,,,4.0,461,2020-12-31
2020-06-30,,,,,,,,,,,,3.0,461,2020-12-31
2020-07-01,,,,,,,,,,,,,461,2020-12-31
2020-07-02,,,,,,,,,,,,,461,2020-12-31
2020-07-03,,,,,,,,,,,,0.0,461,2020-12-31
2020-07-04,,,,,,,,,,,,2.0,461,2020-12-31
2020-07-05,,,,,,,,,,,,0.0,461,2020-12-31
2020-07-06,,,,,,,,,,,,2.0,461,2020-12-31
2020-07-07,,,,,,,,,,,,8.0,461,2020-12-31
2020-07-08,,,,,,,,,,,,25.0,461,2020-12-31
2020-07-09,,,,,,,,,,,,101.0,461,2020-12-31
2020-07-10,,,,,,,,,,,,151.0,461,2020-12-31
2020-07-11,,,,,,,,,,,,111.0,461,2020-12-31
2020-07-12,,,,,,,,,,,,149.0,461,2020-12-31
2020-07-13,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-14,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-15,,,,,,,,,,,,11.0,461,2020-12-31
2020-07-16,,,,,,,,,,,,12.0,461,2020-12-31
2020-07-17,,,,,,,,,,,,11.0,461,2020-12-31
2020-07-18,,,,,,,,,,,,12.0,461,2020-12-31
2020-07-19,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-20,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-21,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-22,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-23,,,,,,,,,,,,12.0,461,2020-12-31
2020-07-24,,,,,,,,,,,,12.0,461,2020-12-31
2020-07-25,,,,,,,,,,,,12.0,461,2020-12-31
2020-07-26,,,,,,,,,,,,13.0,461,2020-12-31
2020-07-27,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-28,,,,,,,,,,,,8.0,461,2020-12-31
2020-07-29,,,,,,,,,,,,8.0,461,2020-12-31
2020-07-30,,,,,,,,,,,,10.0,461,2020-12-31
2020-07-31,,,,,,,,,,,,11.0,461,2020-12-31
2020-08-01,,,,,,,,,,,,,461,2020-12-31
2020-08-02,,,,,,,,,,,,,461,2020-12-31
2020-08-03,,,,,,,,,,,,0.0,461,2020-12-31
2020-08-04,,,,,,,,,,,,2.0,461,2020-12-31
2020-08-05,,,,,,,,,,,,0.0,461,2020-12-31
2020-08-06,,,,,,,,,,,,2.0,461,2020-12-31
2020-08-07,,,,,,,,,,,,10.0,461,2020-12-31
2020-08-08,,,,,,,,,,,,31.0,461,2020-12-31
2020-08-09,,,,,,,,,,,,108.0,461,2020-12-31
2020-08-10,,,,,,,,,,,,143.0,461,2020-12-31
2020-08-11,,,,,,,,,,,,107.0,461,2020-12-31
2020-08-12,,,,,,,,,,,,145.0,461,2020-12-31
2020-08-13,,,,,,,,,,,,36.0,461,2020-12-31
2020-08-14,,,,,,,,,,,,38.0,461,2020-12-31
2020-08-15,,,,,,,,,,,,40.0,461,2020-12-31
2020-08-16,,,,,,,,,,,,46.0,461,2020-12-31
2020-08-17,,,,,,,,,,,,59.0,461,2020-12-31
2020-08-18,,,,,,,,,,,,54.0,461,2020-12-31
2020-08-19,,,,,,,,,,,,54.0,461,2020-12-31
2020-08-20,,,,,,,,,,,,63.0,461,2020-12-31
2020-08-21,,,,,,,,,,,,62.0,461,2020-12-31
2020-08-22,,,,,,,,,,,,64.0,461,2020-12-31
2020-08-23,,,,,,,,,,,,69.0,461,2020-12-31
2020-08-24,,,,,,,,,,,,66.0,461,2020-12-31
2020-08-25,,,,,,,,,,,,68.0,461,2020-12-31
2020-08-26,,,,,,,,,,,,67.0,461,2020-12-31
2020-08-27,,,,,,,,,,,,71.0,461,2020-12-31
2020-08-28,,,,,,,,,,,,76.0,461,2020-12-31
2020-08-29,,,,,,,,,,,,85.0,461,2020-12-31
2020-08-30,,,,,,,,,,,,85.0,461,2020-12-31
2020-08-31,,,,,,,,,,,,83.0,461,2020-12-31
