"date","time","m2w","m4w","q25","q75","X10p_h","X20p_l","eq","unc_l","proj","unc_h"
2022-12-17,0,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401,62.2054428242401
2022-12-18,1,59.5272224257637,59.5272224174869,59.5272224035021,59.5272224966179,59.5272225154672,59.5272224204809,59.5272224053708,59.5265102361377,59.5272224273285,59.5276480702366
2022-12-19,2,58.0624707873209,58.0624707010526,58.0624705552897,58.0624709754682,58.0624711719372,58.0624707322583,58.0624705747677,58.0570151012266,58.0624708036305,58.0657360609877
2022-12-20,3,57.9486514557154,57.9486510455115,57.9486503525461,57.9486518451433,57.9486527793203,57.9486511938865,57.9486504451362,57.9305957460611,57.9486515332734,57.9594642219745
2022-12-21,4,59.3776810200007,59.3776795121061,59.3776769645188,59.3776818801647,59.3776853145403,59.3776800575406,59.3776773049329,59.3348190845582,59.3776813050877,59.4033589455261
2022-12-22,5,62.6077559294626,62.6077509403468,62.6077425110965,62.6077577521056,62.6077691138909,62.6077527450125,62.6077436374419,62.522384894801,62.6077568727126,62.6589437398878
2022-12-23,6,67.9777350175035,67.977719551103,67.9776934180137,67.9777406176383,67.9777758402577,67.9777251457282,67.9776969101653,67.8249125452086,67.9777379414971,68.0694366987225
2022-12-24,7,75.92417902776,75.9241319499725,75.9240524144661,75.9241938496705,75.9243010558436,75.9241489787844,75.9240630420047,75.669395596528,75.9241879285429,76.0771889938443
2022-12-25,8,87.0012426698569,87.0011019792421,87.0008642298193,87.0012945575095,87.0016149881159,87.0011528724102,87.0008960022407,86.5974295034212,87.0012692666123,87.243969773303
2022-12-26,9,101.902852528536,101.902434509799,101.901728349395,101.903000752107,101.903952650068,101.902585711044,101.901822702051,101.286677656212,101.90293156435,102.273592295518
2022-12-27,10,121.486176778857,121.484941559032,121.482854129591,121.486687367386,121.489501422483,121.485388388803,121.48313309403,120.573653659524,121.486410286448,122.035853350982
2022-12-28,11,146.794195697062,146.790582372777,146.78443604422,146.795731866705,146.803934651997,146.791888847314,146.785255740562,145.475745905558,146.794879068925,147.589555961195
2022-12-29,12,179.073566764415,179.063050629532,179.045246910806,179.078385747497,179.102648542912,179.066824756994,179.047609482239,177.209046997144,179.075563717364,180.20080261275
2022-12-30,13,219.781905288923,219.751529402307,219.700269664717,219.796873241439,219.866066787392,219.762426796397,219.707111990191,217.196509188858,219.787618682539,221.350658662538
2022-12-31,14,270.574966483042,270.488421890559,270.342513500604,270.621163115899,270.820450644487,270.519532139829,270.36198947326,267.058579081675,270.591240032079,272.723393216545
2023-01-01,15,333.261670495435,333.019286755953,332.610447231263,333.398172093198,333.954479424242,333.106540394909,332.665131430093,328.575613508678,333.307382111601,336.16431146143
2023-01-02,16,409.709788963293,409.047693900821,407.931745225412,410.07539732251,411.596939944309,409.28645192771,408.08063937945,403.610509102838,409.834863109271,413.593657609711
2023-01-03,17,501.684442666268,499.946272214896,497.018943896079,502.479606906419,506.508365623419,500.573582704996,497.409706148018,493.97910450608,502.013513940588,506.865036749982
2023-01-04,18,610.611537080944,606.315665262617,599.090392232181,611.649764388309,621.733786696594,607.866361318559,600.053407259922,601.261669862079,611.425525497236,617.560709798611
2023-01-05,19,737.290547136965,727.530652903716,711.128794708336,736.548628959971,759.815205916727,731.054921333409,713.313739446112,726.558498360468,739.140159544489,746.729725462367
2023-01-06,20,881.632816793175,861.600857163023,827.919142119269,873.149984374404,921.618081369901,868.839119996694,832.402814760649,870.210145756941,885.425056445315,894.593787854221
2023-01-07,21,1042.49125854909,1005.53090436147,943.201892398208,1015.34133302118,1105.82914592448,1018.90478600811,951.497696779722,1031.52303523094,1049.46726110274,1060.26599113727
2023-01-08,22,1217.58896673173,1155.90001018921,1051.21689488166,1156.94021752186,1309.30480652968,1178.28106135906,1065.15419671713,1208.55863519462,1229.1666906085,1241.54728056791
