"date","time","m2w","m4w","q25","q75","X10p_h","X20p_l","eq","unc_l","proj","unc_h"
2022-12-17,0,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523,120.839135914523
2022-12-18,1,180.407448066141,180.407447646332,180.40744693693,180.407447244082,180.407448200095,180.407447798127,180.407447031745,180.37128513217,180.407448145512,180.429070426439
2022-12-19,2,346.351470808787,346.351464776191,346.351454583678,346.351458995794,346.351472734045,346.351466958379,346.351455945685,345.977562881291,346.351471949216,346.575287383467
2022-12-20,3,773.32233413611,773.322288979279,773.322212707576,773.322245719968,773.322348549757,773.322305312173,773.3222228978,771.525061045148,773.322342674619,774.398889206084
2022-12-21,4,261.733719552735,261.733677961145,261.733607692258,261.733638109313,261.733732826748,261.733693005651,261.733617081688,260.764437151904,261.733727416165,262.314445789962
2022-12-22,5,586.875589885288,586.875357472059,586.874964797868,586.8751347754,586.875664059014,586.875441541029,586.875017268848,583.868033938122,586.875633825405,588.680281216427
2022-12-23,6,1611.17880898166,1611.17728977364,1611.17472274068,1611.175833975,1611.17929380738,1611.17783931709,1611.17506577747,1600.62020407824,1611.17909619124,1617.51943343167
2022-12-24,7,1716.34114327382,1716.33729132233,1716.33078398049,1716.33360071103,1716.34237267592,1716.33868461975,1716.33165346775,1702.66176398406,1716.34187156097,1724.5641659556
2022-12-25,8,1568.27960682505,1568.27137305086,1568.25745760323,1568.26348182706,1568.28223422201,1568.27435159313,1568.25931734136,1553.59500692167,1568.281163303,1577.11668409936
2022-12-26,9,3153.82402555804,3153.78521176539,3153.71965242378,3153.74802830834,3153.83641452317,3153.7992506212,3153.72841139399,3120.00576294503,3153.83136461509,3174.20042290088
2022-12-27,10,4180.81673597505,4180.69658910998,4180.49351944375,4180.5814339645,4180.85507323297,4180.74005272378,4180.52065990436,4130.49865137587,4180.83944717924,4211.18037719997
2022-12-28,11,5395.49772033625,5395.13823845026,5394.52581128044,5394.79013351625,5395.61237263835,5395.26846944844,5394.60739396187,5323.82089885819,5395.56563778382,5438.84118246086
