"date","time","m2w","m4w","q25","q75","X10p_h","X20p_l","eq","unc_l","proj","unc_h"
2022-12-17,0,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698,20.75044259698
2022-12-18,1,20.8719848014121,20.871984801348,20.8719848012399,20.8719848580318,20.8719848581776,20.8719848013712,20.8719848012543,20.8719792060641,20.8719848014242,20.8719883049033
2022-12-19,2,20.9206887382812,20.9206887377056,20.920688736736,20.9206889217635,20.9206889230755,20.9206887379137,20.9206887368653,20.9206040404015,20.9206887383902,20.9207394411887
2022-12-20,3,20.9413323118466,20.9413323050557,20.9413322936038,20.941332783771,20.9413327992386,20.9413323075111,20.9413322951324,20.9409206768567,20.9413323131316,20.9415787978868
2022-12-21,4,20.9799613710308,20.9799613369513,20.9799612794123,20.9799625328897,20.9799626106221,20.9799613492766,20.9799612870979,20.9786923364214,20.9799613774758,20.9807206992742
2022-12-22,5,21.0856060423423,21.0856059219341,21.0856057185204,21.0856088645484,21.0856091388019,21.0856059654872,21.0856057456998,21.0825438470149,21.0856060651078,21.0874408592683
2022-12-23,6,21.3122600582221,21.3122596624843,21.3122589938897,21.3122672048373,21.3122681059661,21.31225980563,21.3122590832284,21.3059027106811,21.3122601330416,21.3160716322681
2022-12-24,7,21.7211606233953,21.7211593889738,21.7211573033272,21.7211787882736,21.7211815991694,21.7211598354923,21.7211575820226,21.7092351401726,21.7211608567741,21.7283152574438
2022-12-25,8,22.3834527677672,22.3834490248595,22.3834427009129,22.3835015658087,22.3835100901457,22.3834503787562,22.383443545955,22.3626444229697,22.3834534753972,22.3959454809461
2022-12-26,9,23.3832639310508,23.3832526980848,23.383233718142,23.3833947155571,23.3834202954405,23.3832567613586,23.3832362544163,23.3488671647689,23.3832660546943,23.4039305449511
2022-12-27,10,24.821224218284,24.8211909277933,24.8211346819078,24.821592658632,24.8216685548841,24.8212029696848,24.8211421977197,24.766699073489,24.821230512196,24.8540123699315
2022-12-28,11,26.8183955420691,26.8182967074079,26.8181302325812,26.8194286809269,26.8196457953789,26.8183327235136,26.8181524417247,26.7348194480549,26.8184141491135,26.8687030229782
2022-12-29,12,29.5205027338881,29.5202141719155,29.5197313967114,29.5234451739962,29.5241287345904,29.5203191577106,29.5197916323119,29.3959148414784,29.5205571121211,29.5955911785602
2022-12-30,13,33.1022080127121,33.101375151853,33.0999636157106,33.110646251725,33.1125495528303,33.1016731421831,33.1001484074908,32.9208678389978,33.1023656793187,33.2116980662786
2022-12-31,14,37.7709740383431,37.7685725329516,37.7645237097982,37.7952007117587,37.8009174710825,37.7694333070947,37.7650534595009,37.5126022628927,37.7714245509192,37.9274320295174
